=============================================
Pre-training Dataset: ECG
Target (fine-tuning) Dataset: EMG
Method:  TF-C
Mode: pre_train
=============================================
Data loaded ...
Training started ....

Pre-training Epoch : 1, Train Loss : 10.467683792114258

Pre-training Epoch : 2, Train Loss : 10.353416442871094

Pre-training Epoch : 3, Train Loss : 10.228962898254395

Pre-training Epoch : 4, Train Loss : 10.113129615783691

Pre-training Epoch : 5, Train Loss : 10.003599166870117

Pre-training Epoch : 6, Train Loss : 9.901806831359863

Pre-training Epoch : 7, Train Loss : 9.788118362426758

Pre-training Epoch : 8, Train Loss : 9.686230659484863

Pre-training Epoch : 9, Train Loss : 9.578214645385742
